Wavelength(nm),irradiance(¦ÌW/cm^2/nm)
925.205,0.14
925.503,-0.01
925.801,0.07
926.098,-0.03
926.396,0
926.694,0.05
926.991,0.12
927.289,-0.47
927.586,0.02
927.884,-0.12
928.181,-0.45
928.478,-0.36
928.775,0.15
929.073,0.02
929.37,0.04
929.667,-0.18
929.964,-0.01
930.261,-0.17
930.557,-0.49
930.854,0.12
931.151,0.18
931.448,0.36
931.744,-0.31
932.041,0.24
932.337,-0.14
932.634,0.04
932.93,-0.04
933.227,-0.12
933.523,0.21
933.819,0.06
934.115,0.02
934.412,-0.03
934.708,-0.07
935.004,-0.14
935.3,-0.2
935.595,-0.2
935.891,-0.16
936.187,-0.23
936.483,0.06
936.778,-0.52
937.074,-0.31
937.369,0.05
937.665,0.23
937.96,-0.16
938.256,-0.16
938.551,0.05
938.846,-0.09
939.141,-0.02
939.437,-0.32
939.732,-0.19
940.027,-0.33
940.322,0.23
940.617,-0.48
940.911,-0.17
941.206,0.28
941.501,-0.01
941.796,0.07
942.09,-0.59
942.385,0.22
942.679,-0.32
942.974,-0.46
943.268,-0.46
943.562,-0.34
943.857,0.04
944.151,-0.13
944.445,-0.34
944.739,-0.47
945.033,-0.27
945.327,-0.01
945.621,0.25
945.915,0.11
946.208,-0.41
946.502,-0.19
946.796,0.13
947.089,0.34
947.383,-0.01
947.676,0.27
947.97,-0.08
948.263,0.48
948.557,-0.19
948.85,-0.54
949.143,0.3
949.436,-1.46
949.729,-0.27
950.022,0.28
950.315,-0.34
950.608,-0.9
950.901,0.18
951.194,-0.07
951.487,-0.5
951.779,-0.08
952.072,0.51
952.364,-0.38
952.657,0.57
952.949,0.21
953.242,0
953.534,-0.18
953.826,0.23
954.118,0.17
954.411,-0.05
954.703,0.04
954.995,-0.76
955.287,0.15
955.579,0.61
955.87,-0.78
956.162,0.33
956.454,0.39
956.746,0.24
957.037,0.29
957.329,-0.74
957.62,-0.53
957.912,0.26
958.203,-0.72
958.494,-0.73
958.786,-0.12
959.077,0.31
959.368,0.29
959.659,-0.46
959.95,-0.92
960.241,0.32
960.532,0.09
960.823,0.18
961.114,-1.03
961.404,-0.28
961.695,-0.9
961.986,-0.08
962.276,-4.57
962.567,-0.23
962.857,-0.58
963.147,-0.51
963.438,-0.08
963.728,0.09
964.018,0.55
964.308,-0.9
964.598,-0.15
964.888,0.61
965.178,-0.05
965.468,-0.29
965.758,-1.45
966.048,-0.51
966.338,-0.11
966.627,-0.35
966.917,0.13
967.206,-0.55
967.496,-1.88
967.785,-0.38
968.075,-1.59
968.364,-0.48
968.653,-0.16
968.942,0.8
969.232,0.39
969.521,-0.15
969.81,0.07
970.099,0.28
970.388,0.5
970.676,0.24
970.965,0.66
971.254,0.42
971.543,0
971.831,0.25
972.12,-0.67
972.408,-0.39
972.697,0.41
972.985,0.2
973.273,-1.4
973.561,0.18
973.85,0.26
974.138,1.07
974.426,-1.5
974.714,-0.14
975.002,0.35
975.29,-0.87
975.577,-1.44
975.865,-0.46
976.153,-0.72
976.441,-2.15
976.728,-0.12
977.016,-0.77
977.303,0.17
977.59,1.05
977.878,0.69
978.165,1.95
978.452,-0.01
978.74,0.31
979.027,0.78
979.314,-0.54
979.601,0.66
979.888,-0.78
980.174,-1.21
980.461,0.32
980.748,0.43
981.035,0.26
981.321,2.3
981.608,-1.95
981.894,0.17
982.181,-0.15
982.467,0.45
982.754,0.42
983.04,0.24
983.326,0.36
983.612,-9.03
983.898,1.17
984.184,-0.3
984.47,0.33
984.756,-1.67
985.042,0.3
985.328,-0.55
985.614,0.23
985.899,-1.82
986.185,-0.09
986.47,0.11
986.756,-1.86
987.041,-0.01
987.327,-0.42
987.612,1.02
987.897,1.2
988.182,-0.85
988.468,-0.14
988.753,1.06
989.038,1.54
989.323,-1.75
989.607,-0.89
989.892,-4.11
990.177,-1.45
990.462,1.4
990.746,-0.42
991.031,-0.42
991.315,0.22
991.6,-2.08
991.884,1.66
992.169,-0.73
992.453,0.81
992.737,-1.67
993.021,-2.6
993.305,-0.06
993.59,-3.51
993.874,1.81
994.157,-0.32
994.441,0.66
994.725,-3.79
995.009,-1.73
995.293,-0.17
995.576,1.91
995.86,-1.73
996.143,-0.72
996.427,-0.85
996.71,2.33
996.993,-0.35
997.277,-2.07
997.56,0.28
997.843,1.28
998.126,-0.31
998.409,-0.07
998.692,1.21
998.975,-1.99
999.258,0.05
999.541,-0.96
999.823,-3.03
1000.106,-1.31
1000.388,-2.89
1000.671,2.64
1000.954,-2.29
1001.236,0.26
1001.518,1.83
1001.801,-1.52
1002.083,-1.26
1002.365,3.12
1002.647,-3.98
1002.929,-5.12
1003.211,1.58
1003.493,1.16
1003.775,0.28
1004.057,-3.38
1004.338,-0.17
1004.62,4.01
1004.902,0.37
1005.183,0.14
1005.465,-0.56
1005.746,3.28
1006.028,0.93
1006.309,-1.77
1006.59,-8.62
1006.871,-1.34
1007.153,-1.76
1007.434,-1.77
1007.715,1.86
1007.996,-1.31
1008.277,-1.87
1008.557,-2.42
1008.838,-8.97
1009.119,-0.38
1009.4,1.29
1009.68,-0.87
1009.961,2.84
1010.241,0.17
1010.522,2.43
1010.802,1.17
1011.082,-5.95
1011.362,1.1
1011.643,2.35
1011.923,-0.02
1012.203,-1.17
1012.483,0.19
1012.763,-3.1
1013.042,-37.17
1013.322,-0.02
1013.602,1.07
1013.882,0.97
1014.161,-0.35
1014.441,2.09
1014.72,0.88
1015,2.57
1015.279,-0.25
1015.558,-0.94
1015.838,-11.45
1016.117,3.17
1016.396,-5.19
1016.675,-1.85
1016.954,5.32
1017.233,-5.51
1017.512,0.1
1017.791,1.5
1018.07,-6.49
1018.348,-0.94
1018.627,-3.96
1018.905,-3.19
1019.184,-3.58
1019.462,-2.56
1019.741,-5.1
1020.019,-4.13
1020.297,1.84
1020.576,1.11
1020.854,-0.9
1021.132,-5.78
1021.41,-5.78
1021.688,-5.78
